,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
119,0,170,173,4,2,3,2,3,1,1,3,0.54232,0,0,7658.2,7658.7,7659.3,7660.3,7661.3,121,-0.0052083333333339255,0.175048828125,-2.0,0.5,-0.16666666666666674,0.25,-0.0052083333333339255,-0.175048828125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,119
120,1,173,173,2,3,2,2,0,1,0,1,0.56004,0,0,7662.3,7662.8,7663.4,7664.4,7665.4,121,-1.8604736328125,-1.517425537109375,-3.0,-0.5,-0.6666666666666667,-0.6666666666666667,-1.8604736328125,-1.517425537109375,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,120
121,0,173,176,3,1,3,2,1,1,0,1,0.61953,0,0,7666.5,7667.0,7667.6,7668.6,7669.6,121,-0.81396484375,-0.3565673828125,-2.0,0.5,-0.16666666666666674,-0.25,-0.81396484375,-0.3565673828125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,121
122,1,176,176,1,2,1,2,2,1,0,1,0.66957,0,0,7670.7,7671.2,7671.9,7672.9,7673.9,121,-3.140625,-2.5302734375,-3.333333333333333,-1.5,-1.1666666666666667,-1.375,-3.140625,-2.5302734375,-3.333333333333333,0,0,1,0,0,0,0,0,1,0,0,0,0,1,122
123,0,176,180,2,0,4,2,3,1,0,1,0.94189,0,0,7674.9,7675.4,7676.4,7677.4,7678.4,121,-0.9557291666666679,-0.103515625,-1.0,1.5,0.33333333333333326,-0.08333333333333348,-0.9557291666666679,-0.103515625,-1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,123
124,1,180,180,0,1,3,1,0,0,0,0,0.61011,0,0,7679.4,7679.9,7680.6,7681.6,7682.6,121,-1.8201497395833321,-1.6787872314453125,-1.833333333333333,0.5,1.3333333333333333,0.5,-1.8201497395833321,-1.6787872314453125,-1.833333333333333,0,1,0,0,0,0,0,0,0,0,1,0,1,0,124
125,1,180,180,1,2,2,1,1,0,0,0,0.6210600000000001,0,0,7683.6,7684.1,7684.8,7685.8,7686.8,121,-1.337890625,-1.04193115234375,-1.5,-0.5,0.33333333333333326,-0.5,-1.337890625,-1.04193115234375,-1.5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,125
126,1,180,180,2,3,2,1,2,0,0,0,0.51485,0,0,7687.8,7688.3,7688.9,7689.9,7690.9,121,-1.1171875,-0.5838623046875,-1.333333333333334,-0.5,0.33333333333333326,-0.5,-1.1171875,-0.5838623046875,-1.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,1,0,126
127,0,180,184,3,2,4,1,3,0,0,0,0.59873,0,0,7691.9,7692.4,7693.1,7694.1,7695.1,121,1.03125,1.796142578125,0.666666666666667,1.5,2.333333333333333,1.5,-1.03125,-1.796142578125,-0.666666666666667,0,0,0,0,0,0,1,1,0,0,0,1,0,1,127
128,0,184,187,2,1,3,1,0,0,0,0,0.61321,0,0,7696.1,7696.6,7697.3,7698.3,7699.3,121,0.01416015625,0.3355712890625,-0.375,0.5,1.3333333333333333,0.5,-0.01416015625,-0.3355712890625,-0.375,0,0,0,0,0,1,0,1,0,0,1,0,1,0,128
129,1,187,187,1,2,1,1,1,0,0,0,0.57272,0,0,7700.3,7700.8,7701.4,7702.4,7703.4,121,-2.337890625,-2.04193115234375,-2.5,-1.5,-0.6666666666666667,-1.5,-2.337890625,-2.04193115234375,-2.5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,129
130,1,187,187,2,3,1,1,2,0,0,0,0.8146,0,0,7704.5,7705.0,7705.8,7706.8,7707.8,121,-2.1171875,-1.5838623046875,-2.333333333333334,-1.5,-0.6666666666666667,-1.5,-2.1171875,-1.5838623046875,-2.333333333333334,0,0,0,1,0,0,0,1,1,0,0,0,0,1,130
131,1,187,187,3,4,2,1,3,0,0,0,0.7671,0,0,7708.9,7709.4,7710.2,7711.2,7712.2,121,-0.96875,-0.203857421875,-1.333333333333333,-0.5,0.33333333333333326,-0.5,-0.96875,-0.203857421875,-1.333333333333333,0,0,0,0,1,0,0,1,0,1,0,0,1,0,131
132,0,187,191,4,3,4,1,0,0,1,2,0.6137,0,0,7713.2,7713.7,7714.4,7715.4,7716.4,121,2.040283203125,2.072772979736328,1.2499999999999982,1.5,2.333333333333333,2.333333333333333,-2.040283203125,-2.072772979736328,-1.2499999999999982,0,0,0,0,0,0,1,1,0,0,0,1,0,1,132
133,0,191,195,3,2,4,1,1,0,1,2,0.8324799999999999,0,0,7717.4,7717.9,7718.8,7719.8,7720.8,121,1.8430989583333321,1.9709930419921875,0.6666666666666661,1.5,2.333333333333333,2.409090909090909,-1.8430989583333321,-1.9709930419921875,-0.6666666666666661,0,0,0,0,0,0,1,1,0,0,0,1,0,1,133
134,1,195,195,2,3,2,1,2,0,1,2,0.56186,0,0,7721.8,7722.3,7722.9,7723.9,7725.0,121,-0.4986979166666661,-0.12408447265625,-1.333333333333334,-0.5,0.33333333333333326,0.5,-0.4986979166666661,-0.12408447265625,-1.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,1,0,134
135,1,195,195,3,4,1,1,3,0,1,2,0.50513,0,0,7726.0,7726.5,7727.0,7728.0,7729.0,121,-0.6614583333333357,-0.990966796875,-2.333333333333333,-1.5,-0.6666666666666667,-0.38888888888888884,-0.6614583333333357,-0.990966796875,-2.333333333333333,0,0,0,1,0,0,0,1,1,0,0,0,0,1,135
136,1,195,195,4,5,2,2,0,1,1,3,0.68419,0,0,7730.1,7730.6,7731.3,7732.3,7733.3,121,-0.7720540364583357,-0.7949142456054688,-1.1041666666666679,-0.5,-0.6666666666666667,-0.25,-0.7720540364583357,-0.7949142456054688,-1.1041666666666679,0,0,0,0,1,0,0,1,0,1,0,0,1,0,136
137,0,195,199,5,3,4,2,1,1,1,3,0.40610999999999997,0,0,7734.3,7734.8,7735.3,7736.3,7737.3,121,1.6761067708333321,1.596099853515625,1.291666666666666,1.5,0.33333333333333326,0.75,-1.6761067708333321,-1.596099853515625,-1.291666666666666,0,0,0,0,0,0,1,1,0,0,0,1,0,1,137
138,0,199,202,3,1,3,2,2,1,1,3,0.68516,0,0,7738.3,7738.8,7739.5,7740.5,7741.6,121,-0.25390625,-0.1624755859375,-2.0,0.5,-0.16666666666666674,0.25,-0.25390625,-0.1624755859375,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,138
139,1,202,202,1,2,2,2,3,1,1,3,0.64295,0,0,7742.6,7743.1,7743.8,7744.8,7745.8,121,-3.333333333333333,-2.252685546875,-3.3333333333333335,-0.5,-0.6666666666666667,-0.25,-3.333333333333333,-2.252685546875,-3.3333333333333335,0,0,1,0,0,0,0,0,0,1,0,0,1,0,139
140,0,202,205,2,0,3,2,0,1,0,1,0.9039,0,0,7746.8,7747.3,7748.2,7749.3,7750.3,121,-0.8604736328125,-0.517425537109375,-2.0,0.5,-0.16666666666666674,-0.16666666666666674,-0.8604736328125,-0.517425537109375,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,140
141,1,205,205,0,1,2,2,1,1,0,1,0.46174,0,0,7751.3,7751.8,7752.3,7753.3,7754.3,121,-1.4244791666666679,-1.1396484375,-1.6666666666666665,-0.5,-0.6666666666666667,-0.75,-1.4244791666666679,-1.1396484375,-1.6666666666666665,0,0,1,0,0,0,0,0,0,1,0,0,1,0,141
142,1,205,205,1,2,4,2,2,1,0,1,0.5179600000000001,0,0,7755.3,7755.9,7756.4,7757.4,7758.4,121,-3.140625,-2.5302734375,-3.333333333333333,1.5,0.33333333333333326,0.125,-3.140625,-2.5302734375,-3.333333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,1,142
143,1,205,205,2,3,1,2,3,1,0,1,0.75692,0,0,7759.4,7760.0,7760.7,7761.7,7762.8,121,-3.955729166666668,-3.103515625,-4.0,-1.5,-1.1666666666666667,-1.5833333333333335,-3.955729166666668,-3.103515625,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,143
0,0,0,1,3,2,1,1,0,0,1,2,0.80467,0,0,1157.1,1157.6,1158.4,1159.4,1160.5,122,-1.376953125,-1.21881103515625,-2.010416666666668,-1.5,-0.6666666666666667,-0.6666666666666667,-1.376953125,-1.21881103515625,-2.010416666666668,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0
1,0,1,3,2,1,2,1,1,0,1,2,0.0008257999999999999,0,0,1161.5,1162.0,1162.0,1163.1,1164.1,122,-0.5735677083333321,-0.47802734375,-1.3750000000000009,-0.5,0.33333333333333326,0.40909090909090895,-0.5735677083333321,-0.47802734375,-1.3750000000000009,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1
2,0,3,7,1,0,4,1,2,0,1,2,0.94195,0,0,1165.1,1165.6,1166.6,1167.6,1168.6,122,1.1888020833333321,1.112060546875,0.5,1.5,2.333333333333333,2.5,-1.1888020833333321,-1.112060546875,-0.5,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2
3,1,7,7,0,1,4,1,3,0,1,2,1.2223,0,0,1169.7,1170.2,1171.4,1172.4,1173.4,122,-1.666666666666667,-1.0810546875,-1.6666666666666667,1.5,2.333333333333333,2.611111111111111,-1.666666666666667,-1.0810546875,-1.6666666666666667,0,1,0,0,0,0,0,0,0,0,0,1,0,1,3
4,1,7,7,1,2,1,2,0,1,1,3,1.0403,0,0,1174.5,1175.0,1176.0,1177.0,1178.1,122,-3.071858723958332,-2.2638778686523438,-3.333333333333334,-1.5,-1.1666666666666667,-0.75,-3.071858723958332,-2.2638778686523438,-3.333333333333334,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4
5,1,7,7,2,3,1,2,1,1,1,3,2.0925,0,0,1179.1,1179.6,1181.7,1182.7,1183.7,122,-2.4404296875,-2.371856689453125,-4.0,-1.5,-1.1666666666666667,-0.75,-2.4404296875,-2.371856689453125,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,5
6,1,7,7,3,4,2,2,2,1,1,3,1.403,0,0,1184.8,1185.3,1186.7,1187.7,1188.7,122,-1.25390625,-1.1624755859375,-3.0,-0.5,-0.6666666666666667,-0.25,-1.25390625,-1.1624755859375,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,6
7,0,7,10,4,2,3,2,3,1,1,3,1.2061,0,0,1189.7,1190.3,1191.5,1192.5,1193.5,122,-0.0052083333333339255,0.175048828125,-2.0,0.5,-0.16666666666666674,0.25,-0.0052083333333339255,-0.175048828125,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,7
8,0,10,11,2,0,1,2,0,1,0,1,0.01592,0,0,1194.5,1195.0,1195.1,1196.1,1197.1,122,-2.8604736328125,-2.517425537109375,-4.0,-1.5,-1.1666666666666667,-1.1666666666666667,-2.8604736328125,-2.517425537109375,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,8
9,1,11,11,0,1,4,2,1,1,0,1,0.77505,0,0,1198.1,1198.6,1199.4,1200.4,1201.5,122,-1.4244791666666679,-1.1396484375,-1.6666666666666665,1.5,0.33333333333333326,0.25,-1.4244791666666679,-1.1396484375,-1.6666666666666665,0,0,1,0,0,0,0,0,0,0,0,1,0,1,9
10,1,11,11,1,2,2,2,2,1,0,1,2.4866,0,0,1202.5,1203.0,1205.5,1206.5,1207.5,122,-3.140625,-2.5302734375,-3.333333333333333,-0.5,-0.6666666666666667,-0.875,-3.140625,-2.5302734375,-3.333333333333333,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10
11,1,11,11,2,3,1,2,3,1,0,1,0.94676,0,0,1208.5,1209.1,1210.0,1211.0,1212.1,122,-3.955729166666668,-3.103515625,-4.0,-1.5,-1.1666666666666667,-1.5833333333333335,-3.955729166666668,-3.103515625,-4.0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,11
12,0,11,15,3,2,4,1,0,0,1,2,1.2631,0,0,1213.1,1213.6,1214.9,1215.9,1216.9,122,1.623046875,1.78118896484375,0.9895833333333321,1.5,2.333333333333333,2.333333333333333,-1.623046875,-1.78118896484375,-0.9895833333333321,0,0,0,0,0,0,1,1,0,0,0,1,0,1,12
13,0,15,16,2,1,1,1,1,0,1,2,0.6411899999999999,0,0,1217.9,1218.4,1219.1,1220.1,1221.1,122,-1.5735677083333321,-1.47802734375,-2.375000000000001,-1.5,-0.6666666666666667,-0.590909090909091,-1.5735677083333321,-1.47802734375,-2.375000000000001,0,0,0,1,0,0,0,1,1,0,0,0,0,1,13
14,0,16,17,1,0,1,1,2,0,1,2,0.71717,0,0,1222.1,1222.7,1223.4,1224.4,1225.4,122,-1.8111979166666679,-1.887939453125,-2.5,-1.5,-0.6666666666666667,-0.5,-1.8111979166666679,-1.887939453125,-2.5,0,0,0,1,0,0,0,1,1,0,0,0,0,1,14
