,response,points,points_after,energy,energy_after,reward,energy_cost,trial,segment,segment_after,transition,reaction_time,timeout,energy_out,stimulus_onset,response_onset,selection_onset,feedback_onset,iti_onset,vpn,dv_planning_old,dv_planning,dv_myopic_planning,dv_simple,dv_OCR,dv_AVGRR,conflict_planning_old,conflict_planning,conflict_myopic_planning,is_full_energy,is_low_energy_LC,is_low_energy_HC,is_basic_1,is_basic_2,is_basic_3,is_basic_4,is_basic,is_1,is_2,is_3,is_4,is_23,is_14,index
157,1.0,227,227,1,2,4,2,1,1,0,1,0.66357,0,0,47348.0,47348.0,47349.0,47353.0,47354.0,106,-2.96875,-2.3812713623046875,-3.3333333333333335,1.5,0.33333333333333326,0.25,-2.96875,-2.3812713623046875,-3.3333333333333335,0,0,1,0,0,0,0,0,0,0,0,1,0,1,157
158,1.0,227,227,2,3,2,2,2,1,0,1,1.0737,0,0,47358.0,47359.0,47360.0,47364.0,47365.0,106,-2.684895833333332,-1.69586181640625,-3.0,-0.5,-0.6666666666666667,-0.875,-2.684895833333332,-1.69586181640625,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,158
159,1.0,227,227,3,4,2,2,3,1,0,1,0.80586,0,0,47368.0,47369.0,47369.0,47374.0,47375.0,106,-2.684895833333332,-1.594482421875,-3.0,-0.5,-0.6666666666666667,-1.0833333333333335,-2.684895833333332,-1.594482421875,-3.0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,159
160,1.0,227,227,4,5,1,1,0,0,0,0,0.8386899999999999,0,0,47533.0,47533.0,47534.0,47536.0,47537.0,106,-1.4130859375,-1.0954360961914062,-1.7500000000000018,-1.5,-0.6666666666666667,-1.5,-1.4130859375,-1.0954360961914062,-1.7500000000000018,0,0,0,1,0,0,0,1,1,0,0,0,0,1,160
161,0.0,227,230,5,4,3,1,1,0,0,0,0.5915100000000001,0,0,47540.0,47541.0,47541.0,47543.0,47544.0,106,0.9765625,1.234039306640625,0.6666666666666661,0.5,1.3333333333333333,0.5,-0.9765625,-1.234039306640625,-0.6666666666666661,0,0,0,0,0,1,0,1,0,0,1,0,1,0,161
162,1.0,230,230,4,5,2,1,2,0,0,0,0.8612,0,0,47548.0,47549.0,47549.0,47551.0,47552.0,106,-0.546875,-0.03192138671875,-1.333333333333334,-0.5,0.33333333333333326,-0.5,-0.546875,-0.03192138671875,-1.333333333333334,0,0,0,0,1,0,0,1,0,1,0,0,1,0,162
163,1.0,230,230,5,6,1,1,3,0,0,0,0.71625,0,0,47557.0,47557.0,47558.0,47561.0,47562.0,106,-1.125,-0.719970703125,-2.333333333333333,-1.5,-0.6666666666666667,-1.5,-1.125,-0.719970703125,-2.333333333333333,0,0,0,1,0,0,0,1,1,0,0,0,0,1,163
164,0.0,230,233,6,5,3,1,0,0,1,2,0.42462,0,0,47566.0,47567.0,47567.0,47569.0,47570.0,106,2.211344401041668,2.207874298095703,2.208333333333332,0.5,1.3333333333333333,1.3333333333333333,-2.211344401041668,-2.207874298095703,-2.208333333333332,1,0,0,0,0,0,0,0,0,0,1,0,1,0,164
165,1.0,233,233,5,6,1,1,1,0,1,2,0.69247,0,0,47573.0,47574.0,47574.0,47579.0,47580.0,106,-0.5250651041666679,-0.6508941650390625,-1.333333333333334,-1.5,-0.6666666666666667,-0.590909090909091,-0.5250651041666679,-0.6508941650390625,-1.333333333333334,0,0,0,1,0,0,0,1,1,0,0,0,0,1,165
166,0.0,233,234,6,5,1,1,2,0,1,2,0.97529,0,0,47585.0,47585.0,47586.0,47587.0,47589.0,106,-0.2096354166666643,0.2906494140625,0.16666666666666607,-1.5,-0.6666666666666667,-0.5,-0.2096354166666643,-0.2906494140625,-0.16666666666666607,1,0,0,0,0,0,0,0,1,0,0,0,0,1,166
167,0.0,234,238,5,4,4,1,3,0,1,2,0.44208000000000003,0,0,47591.0,47591.0,47592.0,47593.0,47594.0,106,2.463541666666668,2.50146484375,0.6666666666666679,1.5,2.333333333333333,2.611111111111111,-2.463541666666668,-2.50146484375,-0.6666666666666679,0,0,0,0,0,0,1,1,0,0,0,1,0,1,167
168,1.0,238,238,4,5,1,2,0,1,0,1,0.85085,0,0,47596.0,47597.0,47598.0,47601.0,47602.0,106,-2.0937499999999982,-1.8625030517578125,-2.104166666666668,-1.5,-1.1666666666666667,-1.1666666666666667,-2.0937499999999982,-1.8625030517578125,-2.104166666666668,0,0,0,1,0,0,0,1,1,0,0,0,0,1,168
169,0.0,238,242,5,3,4,2,1,1,0,1,0.50178,0,0,47604.0,47605.0,47605.0,47609.0,47610.0,106,1.3125,1.5290374755859375,1.291666666666666,1.5,0.33333333333333326,0.25,-1.3125,-1.5290374755859375,-1.291666666666666,0,0,0,0,0,0,1,1,0,0,0,1,0,1,169
170,1.0,242,242,3,4,3,2,2,1,0,1,0.5585600000000001,0,0,47613.0,47613.0,47614.0,47616.0,47617.0,106,-1.0312500000000018,-0.3441162109375,-2.0,0.5,-0.16666666666666674,-0.375,-1.0312500000000018,-0.3441162109375,-2.0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,170
171,0.0,242,246,4,2,4,2,3,1,0,1,0.6302800000000001,0,0,47620.0,47621.0,47621.0,47623.0,47624.0,106,-0.031250000000001776,0.87451171875,-1.0,1.5,0.33333333333333326,-0.08333333333333348,-0.031250000000001776,-0.87451171875,-1.0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,171
172,0.0,246,250,2,1,4,1,0,0,0,0,0.6246,0,0,47627.0,47628.0,47628.0,47631.0,47632.0,106,1.01416015625,1.3355712890625,0.625,1.5,2.333333333333333,1.5,-1.01416015625,-1.3355712890625,-0.625,0,0,0,0,0,0,1,1,0,0,0,1,0,1,172
173,1.0,250,250,1,2,2,1,1,0,0,0,0.51378,0,0,47634.0,47634.0,47635.0,47637.0,47638.0,106,-1.337890625,-1.04193115234375,-1.5,-0.5,0.33333333333333326,-0.5,-1.337890625,-1.04193115234375,-1.5,0,0,0,0,1,0,0,1,0,1,0,0,1,0,173
174,0.0,250,253,2,1,3,1,2,0,0,0,0.89223,0,0,47641.0,47642.0,47643.0,47646.0,47647.0,106,-0.1171875,0.4161376953125,-0.3333333333333339,0.5,1.3333333333333333,0.5,-0.1171875,-0.4161376953125,-0.3333333333333339,0,0,0,0,0,1,0,1,0,0,1,0,1,0,174
175,1.0,253,253,1,2,1,1,3,0,0,0,0.49228,0,0,47649.0,47649.0,47650.0,47655.0,47656.0,106,-2.53125,-1.9638671875,-2.3333333333333335,-1.5,-0.6666666666666667,-1.5,-2.53125,-1.9638671875,-2.3333333333333335,0,0,0,1,0,0,0,1,1,0,0,0,0,1,175
