,d_LOOIC,d_SE,d_q2_5,d_q97_5
HM (I)P+S (E)P+S vs. HM (I)P+S (E)P+S 2beta,48.58196181976881,21.719973000225306,91.15310890021041,6.010814739327209
HM (I)P+S (E)P+S 2beta vs. HM (I)P+S (E)P+S 3beta,5.224192542464664,6.820507943034688,18.59238811081265,-8.144003025883324
HM (I)P+S (E)P+S 3beta vs. HM (I)P+S (E)P+S 4beta,16.518096738873204,13.080142797816974,42.15517662259447,-9.118983144848062
HM (I)P+S (E)P+S 2beta vs. HM (I)P+S (E)P+S 4beta,21.742289281337868,14.585160817575073,50.329204483785006,-6.844625921109273
