SM (I)S (E)S,PM (I)P (E)P,HM (I)P+S (E)P+S 2beta
0.18927835262253012,0.05166793535980929,0.030296922857296238
0.024290798591238172,0.0031649188870730427,0.004660655677561465
0.024290798591238172,0.004683109547212183,0.005732703342602008
0.049534690465872444,0.13999273489426756,0.09969579555850316
7.4955986298572626,14.88628336458418,13.475561478107963
0.049534690465872444,0.002281610129070799,0.012004826000577395
0.18927835262253012,2.180544917634112,0.2760585165437064
0.049534690465872444,0.0883843764268093,0.07773538119087675
0.049534690465872444,0.002694547715606177,0.019606748018439646
5.259411833750541,0.3281813576586714,3.719782854048134
0.1188523604306937,0.020113575488078794,0.017623809135447033
0.024290798591238172,0.002901122178453619,0.004452383998813758
0.1188523604306937,0.9882649222024327,0.14413437233094584
6.388629842264205,1.0241271502454588,5.167397441114133
0.024290798591238172,0.004034832153003265,0.005297469217723005
0.18927835262253012,0.3654334326832043,0.08288706795871903
0.009763797030146293,0.005043011816660226,0.002170044981596675
0.18927835262253012,0.2870955538215014,0.07255467220428358
0.1188523604306937,0.14433169913103683,0.046784048465049466
0.024290798591238172,0.007831591728489684,0.007545273636736738
0.18927835262253012,0.561985557618069,0.10621317877667735
0.03586449594509844,0.006287594376807704,0.017007587326514084
0.024290798591238172,0.004683109547212183,0.005732703342602008
0.049534690465872444,0.13999273489426756,0.1140330338229596
0.049534690465872444,0.002895799543409794,0.013494903788565438
0.009763797030146293,0.0018451835054662524,0.0012852615263483358
0.1188523604306937,0.07762736878522958,0.03401327187173564
0.1188523604306937,0.19750850158040478,0.05526574817913854
0.009763797030146293,0.029569447315306974,0.005638496857127251
0.27698063388037397,0.2970546051270233,0.525136282611907
0.1188523604306937,0.08718494687096978,0.036071082039399016
0.024290798591238172,0.0011292971097809357,0.0027289165558919137
0.1188523604306937,1.780132231957726,0.22408553009720933
0.024290798591238172,0.0009914156431705123,0.002552831128557642
0.1188523604306937,2.1139244257920957,0.2597586009480146
0.024290798591238172,0.0008536866433885848,0.0023651516863729682
0.009763797030146293,0.16578481161829473,0.01512893680155969
0.18927835262253012,0.01133272983983602,0.014952617290557413
0.009763797030146293,0.30450950600020477,0.021942068520402813
0.009763797030146293,0.03958386113369983,0.006631596132180562
0.27698063388037397,0.0003764437125077791,0.017343490024515518
0.1188523604306937,0.2529108169005063,0.0632211830501177
0.009763797030146293,0.030614183623352886,0.00574798083379946
0.27698063388037397,0.0005269795620037598,0.020368647268472984
0.009763797030146293,0.0037116041559599466,0.001847238480408464
0.009763797030146293,0.011159196505907687,0.003313112462933532
0.27698063388037397,0.5722846781701492,0.7235030587205671
0.1188523604306937,3.2018729070648924,0.3918249894801775
0.27698063388037397,0.5404103781759702,0.7009458254546956
0.009763797030146293,0.30518387670636216,0.02197256827996341
0.27698063388037397,6.902187971036255e-05,0.007848915535056733
0.024290798591238172,0.0007609512218351711,0.002230703344373808
0.009763797030146293,0.1942758322592688,0.016641181828603635
0.18927835262253012,0.009956389749717687,0.014109295090772633
0.1188523604306937,0.24302977588693153,0.06185257312665016
0.009763797030146293,0.03646674801801453,0.006334866176199938
0.27698063388037397,0.010073982780411939,0.10702267826254186
0.009763797030146293,0.009836763563065176,0.0030959880391598915
0.024290798591238172,0.008838304401237451,0.00805303282144365
0.1188523604306937,0.042288610936445536,0.025167338890344837
0.18927835262253012,1.349480141281763,0.18818545868993652
0.1188523604306937,0.004176105944079467,0.008614907656912862
0.024290798591238172,0.006309558827954476,0.006719626190154315
0.009763797030146293,0.017753232282633036,0.00426050610321127
0.18927835262253012,0.10665480022246498,0.043284458827407946
0.024290798591238172,0.01097984046021594,0.009055782951421065
0.009763797030146293,0.005932482206265632,0.0023645595419097276
0.1188523604306937,0.6209658564158715,0.10653791614434027
0.009763797030146293,0.10430748665847034,0.011514476084879988
6.388629842264205,0.4314608263758153,4.181309133943138
0.18927835262253012,1.3765003933087918,0.19094010688116825
0.049534690465872444,0.002895799543409794,0.013494903788565438
0.009763797030146293,0.0018451835054662524,0.0012852615263483358
0.1188523604306937,0.07762736878522958,0.03401327187173564
0.1188523604306937,0.24302977588693153,0.06185257312665016
0.1188523604306937,0.7636626236537118,0.12143077141732306
0.27698063388037397,2.9450753009035644,2.003920121765969
0.1188523604306937,0.22167666831892063,0.05882487889443766
0.024290798591238172,0.009145810334558746,0.008203035645827583
0.1188523604306937,0.043969473832234485,0.025651183456471216
0.18927835262253012,1.2961074784227193,0.18275234984358235
0.009763797030146293,0.01617968187979102,0.004050563685527919
0.18927835262253012,0.12314394910737647,0.04654449330741883
0.009763797030146293,0.020790128911251315,0.00464444717553647
0.18927835262253012,0.08911777361839768,0.03956628792739991
0.18927835262253012,0.17443034147023084,0.05566258228444099
0.18927835262253012,0.561985557618069,0.10621317877667735
0.03586449594509844,0.006287594376807704,0.012968290849851627
0.009763797030146293,0.05854663282981676,0.00826585647716982
0.009763797030146293,0.0011895795645990859,0.0010265583518780375
0.1188523604306937,0.042288610936445536,0.025167338890344837
0.1188523604306937,0.08277259886865096,0.03513396018811221
0.024290798591238172,0.024102502920083424,0.013934977101204282
0.1188523604306937,1.2407043083059968,0.1692931937499722
0.009763797030146293,0.16578481161829473,0.01512893680155969
0.18927835262253012,0.01133272983983602,0.014952617290557413
0.1188523604306937,0.24302977588693153,0.06185257312665016
0.024290798591238172,0.007441666028693561,0.007341010401454184
0.1188523604306937,0.07765703357454612,0.03401982465565112
0.024290798591238172,0.027359786314537615,0.014951028686585488
0.024290798591238172,0.2347148404966113,0.05199876033452355
0.049534690465872444,0.12103989343044219,0.0921033048289317
0.049534690465872444,0.0017236138344074448,0.016368956753563424
