,LOOIC,SE
SM OCR,5811.268855651421,99.7743052477667
SM AVGRR,5944.929629408344,110.61061784157954
SM linear,4613.835989569318,109.45725589624678
SM (I)S (E)S,4566.564303543038,109.32715556390247
