,mu_beta_dv,mu_theta_basic,theta_low_energy_LC,theta_low_energy_HC
0,2.841170734939507,-0.40352062691082385,-8.237863701359586,-6.645178960232181
1,2.918371395307001,-0.38137010221538414,-8.218662201330206,-6.9589065104417624
2,2.98474181515344,-0.3322139427857127,-8.719595690058512,-6.876310260157695
3,2.9985487153470824,-0.25713461578158286,-7.849694257240539,-6.828948642200217
4,3.0018353292228537,-0.4210020960247265,-8.74154631969729,-6.84752907583834
5,2.7189443341817308,-0.326525558269069,-8.000209026180006,-6.331809343742036
6,3.0539313203276275,-0.30205890776487077,-7.712200948820968,-6.266054113503742
7,2.976973000732595,-0.27340305755655564,-8.299651024199878,-6.921209920190144
8,2.906103740715834,-0.3629370138712906,-7.841619235207597,-6.672050072687385
9,3.0078057122849944,-0.19457197712297677,-8.110508636473625,-6.588020337592319
10,2.910584918649386,-0.3333209706986868,-7.451881228156552,-6.8879429275008786
11,2.914197695237901,-0.4048203832754074,-7.982061803129553,-7.032301120560867
12,3.1843204079472587,-0.4025857316511961,-8.020798058995249,-6.9367269334068595
13,2.9289672362338868,-0.2746412713542999,-8.235112542437589,-6.355761231752635
14,3.2237880462174133,-0.22793212149697692,-8.635326084969693,-6.7990229828828035
15,2.835249178621417,-0.40078730178422456,-8.327348366769296,-6.84827199458332
16,2.8964135739132026,-0.2378230348919167,-8.008931061601567,-6.7777347920463376
17,3.081398931130273,-0.40494706966236493,-8.060294776848444,-6.653725301311651
18,3.177098564333218,-0.3828769312601973,-8.29015114582996,-7.142776834467809
19,2.927449401873304,-0.3529224639716886,-7.80619952650989,-6.769216546081487
20,2.7922063097562955,-0.30327546038084574,-7.783832568481791,-6.871722599855909
21,2.9612068103768934,-0.2855955429458421,-7.549420405771128,-6.4378528071524554
22,3.081527744407643,-0.2983007429731308,-7.610399910142789,-6.61356410543573
23,2.8241778608159644,-0.21300515137640713,-7.853795328957156,-6.715139473645189
24,3.1096799178946104,-0.38573491916758884,-8.310248410756286,-7.001899911094196
25,3.0775169543142455,-0.24372960629886015,-7.729031388136794,-6.780835586269379
26,3.1807168182700036,-0.4204184880131375,-8.9174027835643,-6.988741840100924
27,2.985923144023063,-0.33824555616991503,-7.424097731105441,-6.890635942291577
28,3.0510382095909896,-0.43005141544583536,-8.067123304133231,-6.4018897999400055
29,2.804280879588651,-0.40291006352832004,-8.026316395773206,-7.06470734456039
30,3.129008879735292,-0.4480018478048568,-7.686200749399144,-6.872850434321467
31,2.9108841404500763,-0.4112537933148832,-8.430431277163724,-6.899404236116513
32,3.0358363619140145,-0.3792178756598038,-7.578870764818831,-6.971499890992409
33,3.0521359591493638,-0.28270828558991645,-8.159049024892575,-6.494557744057289
34,3.167571599672556,-0.3631736056054742,-7.8055207933296185,-6.734238535844143
35,3.1886616488673294,-0.32609192062127157,-8.234677882908139,-6.798212076990983
36,3.148360186841239,-0.19615336482931078,-8.535050520991101,-6.478193162927677
37,3.1139139528099995,-0.34358901360412897,-8.133839071724589,-7.008117253406779
