,LOOIC,SE
SM (I)S (E)S,4566.564303543038,109.32715556390247
PM (I)P (E)P,4173.916057222708,110.87193624061885
HM (I)P (E)S,4355.828775994976,112.45505388216792
HM (I)P+S (E)S,3535.3536801735054,109.68772985823321
HM (I)S (E)P+S,4500.625142456633,109.21836263790325
HM (I)P+S (E)P+S,3415.9909911366904,107.1188578271694
HM (I)P+S (E)P+S 2beta,3367.4090293169215,104.56243091881598
HM (I)P+S (E)P+S 3beta,3362.184836774457,103.54455504986962
HM (I)P+S (E)P+S 4beta,3345.6667400355836,102.5122774966159
